Session,Treatment,Iteration,Time (Recording),Time (Session),no step,S1,S2,S3,S4,S5,S6,S7
P23T5,NaNofuzz,1,0:46:10,0:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:46:40,0:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:47:10,1:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:47:40,1:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:48:10,2:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:48:40,2:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:49:10,3:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:49:40,3:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:50:10,4:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:50:40,4:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:51:10,5:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:51:40,5:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:52:10,6:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:52:40,6:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:53:10,7:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:53:40,7:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:54:10,8:00,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:54:40,8:30,,,0:00:30,,,,,
P23T5,NaNofuzz,1,0:55:10,9:00,,,0:00:30,,,,,
P16T6,NaNofuzz,1,1:11:34,0:00,,,0:00:19,,,,,
P16T6,NaNofuzz,1,1:11:53,0:19,,,,,,,,0:00:11
P16T6,NaNofuzz,1,1:12:04,0:30,,,0:00:30,,,,,
P16T6,NaNofuzz,1,1:12:34,1:00,,,0:00:30,,,,,
P16T6,NaNofuzz,1,1:13:04,1:30,,,0:00:30,,,,,
P16T6,NaNofuzz,,1:13:34,2:00,0:00:30,,,,,,,
P16T6,NaNofuzz,1,1:14:04,2:30,,,,0:00:01,,,,
P16T6,NaNofuzz,1,1:14:05,2:31,,,,,0:00:10,,,
P16T6,NaNofuzz,1,1:14:15,2:41,,,,,,0:00:01,,
P16T6,NaNofuzz,1,1:14:16,2:42,,,,,,,0:00:04,
P16T6,NaNofuzz,2,1:14:20,2:46,,,,0:00:01,,,,
P16T6,NaNofuzz,2,1:14:21,2:47,,,,,0:00:05,,,
P16T6,NaNofuzz,2,1:14:26,2:52,,,,,,0:00:01,,
P16T6,NaNofuzz,2,1:14:27,2:53,,,,,,,0:00:03,
P16T6,NaNofuzz,2,1:14:30,2:56,,,,,,,,0:00:04
P16T6,NaNofuzz,3,1:14:34,3:00,,,,0:00:01,,,,
P16T6,NaNofuzz,3,1:14:35,3:01,,,,,0:00:01,,,
P16T6,NaNofuzz,3,1:14:36,3:02,,,,,,0:00:02,,
P16T6,NaNofuzz,3,1:14:38,3:04,,,,,,,0:00:12,
P16T6,NaNofuzz,4,1:14:50,3:16,,,,0:00:05,,,,
P16T6,NaNofuzz,4,1:14:55,3:21,,,,,0:00:05,,,
P16T6,NaNofuzz,4,1:15:00,3:26,,,,,,0:00:04,,
P16T6,NaNofuzz,4,1:15:04,3:30,,,,,,,0:00:30,
P16T6,NaNofuzz,4,1:15:34,4:00,0:00:30,,,,,,,
P16T6,NaNofuzz,5,1:16:04,4:30,,,,0:00:01,,,,
P16T6,NaNofuzz,5,1:16:05,4:31,,,,,0:00:06,,,
P16T6,NaNofuzz,5,1:16:11,4:37,,,,,,0:00:04,,
P16T6,NaNofuzz,5,1:16:15,4:41,,,,,,,0:00:19,
P16T6,NaNofuzz,5,1:16:34,5:00,,,,,,,,0:00:30
P16T6,NaNofuzz,5,1:17:04,5:30,,,,,,,0:00:09,
P16T6,NaNofuzz,6,1:17:13,5:39,,,,0:00:01,,,,
P16T6,NaNofuzz,6,1:17:14,5:40,,,,,0:00:07,,,
P16T6,NaNofuzz,6,1:17:21,5:47,,,,,,0:00:02,,
P16T6,NaNofuzz,6,1:17:23,5:49,,,,,,,0:00:11,
P16T6,NaNofuzz,7,1:17:34,6:00,,,0:00:12,,,,,
P16T6,NaNofuzz,7,1:17:46,6:12,,,,0:00:18,,,,
P16T6,NaNofuzz,7,1:18:04,6:30,,,,,0:00:03,,,
P16T6,NaNofuzz,7,1:18:07,6:33,,,,,,0:00:27,,
P37T3,NaNofuzz,1,0:36:32,0:00,,,0:00:30,,,,,
P37T3,NaNofuzz,1,0:37:02,0:30,,,0:00:30,,,,,
P37T3,NaNofuzz,1,0:37:32,1:00,,,,,,,,0:00:30
P37T3,NaNofuzz,1,0:38:02,1:30,0:00:30,,,,,,,
P37T3,NaNofuzz,1,0:38:32,2:00,,,,,,,,0:00:30
P37T3,NaNofuzz,1,0:39:02,2:30,,,,,,,,0:00:04
P37T3,NaNofuzz,1,0:39:06,2:34,,,,0:00:05,,,,
P37T3,NaNofuzz,1,0:39:11,2:39,,,,,0:00:02,,,
P37T3,NaNofuzz,1,0:39:13,2:41,,,,,,0:00:04,,
P37T3,NaNofuzz,1,0:39:17,2:45,,,,,,,0:00:15,
P22T2,NaNofuzz,1,0:22:50,0:00,,,0:00:30,,,,,
P22T2,NaNofuzz,1,0:23:20,0:30,,,0:00:30,,,,,
P22T2,NaNofuzz,1,0:23:50,1:00,0:00:30,,,,,,,
P22T2,NaNofuzz,1,0:24:20,1:30,,,,,0:00:05,,,
P22T2,NaNofuzz,1,0:24:25,1:35,,,,,,0:00:05,,
P22T2,NaNofuzz,1,0:24:30,1:40,,,,,,,0:00:15,
P22T2,NaNofuzz,1,0:24:45,1:55,,,,,,,,0:00:05
P22T2,NaNofuzz,2,0:24:50,2:00,,,,0:00:30,,,,
P22T2,NaNofuzz,2,0:25:20,2:30,,,,,0:00:06,,,
P22T2,NaNofuzz,2,0:25:26,2:36,,,,,,0:00:02,,
P22T2,NaNofuzz,2,0:25:28,2:38,,,,,,,0:00:22,
P22T2,NaNofuzz,2,0:25:50,3:00,,,,,,,,0:00:30
P22T2,NaNofuzz,3,0:26:20,3:30,,,,0:00:08,,,,
P22T2,NaNofuzz,3,0:26:28,3:38,,,,,0:00:10,,,
P22T2,NaNofuzz,3,0:26:38,3:48,,,,,,0:00:01,,
P22T2,NaNofuzz,3,0:26:39,3:49,,,,,,,0:00:07,
P22T2,NaNofuzz,3,0:26:46,3:56,,,,0:00:04,,,,
P22T2,NaNofuzz,3,0:26:50,4:00,,,,0:00:08,,,,
P22T2,NaNofuzz,3,0:26:58,4:08,,,,,0:00:15,,,
P22T2,NaNofuzz,3,0:27:13,4:23,,,,,,0:00:04,,
P22T2,NaNofuzz,3,0:27:17,4:27,,,,,,,0:00:03,
P22T2,NaNofuzz,3,0:27:20,4:30,0:00:30,,,,,,,
P22T2,NaNofuzz,4,0:27:50,5:00,,,0:00:30,,,,,
P22T2,NaNofuzz,4,0:28:20,5:30,,,,0:00:30,,,,
P22T2,NaNofuzz,4,0:28:50,6:00,,,,,0:00:16,,,
P22T2,NaNofuzz,4,0:29:06,6:16,,,,,,0:00:06,,
P22T2,NaNofuzz,4,0:29:12,6:22,,,,,,,0:00:08,
P22T2,NaNofuzz,4,0:29:20,6:30,0:00:30,,,,,,,
P22T2,NaNofuzz,5,0:29:50,7:00,,,0:00:30,,,,,
P22T2,NaNofuzz,5,0:30:20,7:30,,,,0:00:30,,,,
P22T2,NaNofuzz,5,0:30:50,8:00,,,,0:00:30,,,,
P22T2,NaNofuzz,5,0:31:20,8:30,,,,,0:00:04,,,
P22T2,NaNofuzz,5,0:31:24,8:34,,,,,,0:00:04,,
P22T2,NaNofuzz,5,0:31:28,8:38,,,,,,,0:00:13,
P22T2,NaNofuzz,5,0:31:41,8:51,,,,,0:00:06,,,
P22T2,NaNofuzz,5,0:31:47,8:57,,,,,,0:00:03,,
P16T2,NaNofuzz,1,0:26:30,0:00,,,0:00:30,,,,,
P16T2,NaNofuzz,1,0:27:00,0:30,,,0:00:30,,,,,
P16T2,NaNofuzz,1,0:27:30,1:00,0:00:30,,,,,,,
P16T2,NaNofuzz,1,0:28:00,1:30,0:00:30,,,,,,,
P16T2,NaNofuzz,1,0:28:30,2:00,,,0:00:30,,,,,
P16T2,NaNofuzz,1,0:29:00,2:30,,,0:00:30,,,,,
P16T2,NaNofuzz,1,0:29:30,3:00,,,,0:00:04,,,,
P16T2,NaNofuzz,1,0:29:34,3:04,,,,,,,,0:00:26
P16T2,NaNofuzz,1,0:30:00,3:30,,,,0:00:01,,,,
P16T2,NaNofuzz,1,0:30:01,3:31,,,,,0:00:26,,,
P16T2,NaNofuzz,1,0:30:27,3:57,,,,,,0:00:03,,
P16T2,NaNofuzz,1,0:30:30,4:00,,,,,,,,0:00:30
P16T2,NaNofuzz,1,0:31:00,4:30,0:00:30,,,,,,,
P16T2,NaNofuzz,1,0:31:30,5:00,0:00:30,,,,,,,
P16T2,NaNofuzz,2,0:32:00,5:30,,,,0:00:02,,,,
P16T2,NaNofuzz,2,0:32:02,5:32,,,,,0:00:22,,,
P16T2,NaNofuzz,2,0:32:24,5:52,,,,,,0:00:04,,
P16T2,NaNofuzz,2,0:32:28,5:56,,,,,,,0:00:02,
P16T2,NaNofuzz,2,0:32:30,6:00,0:00:30,,,,,,,
P16T2,NaNofuzz,2,0:33:00,6:30,0:00:30,,,,,,,
P16T2,NaNofuzz,3,0:33:30,7:00,,,,0:00:30,,,,
P16T2,NaNofuzz,3,0:34:00,7:30,,,,0:00:01,,,,
P16T2,NaNofuzz,3,0:34:01,7:31,,,,,0:00:05,,,
P16T2,NaNofuzz,3,0:34:06,7:36,,,,,,0:00:07,,
P16T2,NaNofuzz,3,0:34:13,7:43,,,,,,,0:00:03,
P16T2,NaNofuzz,4,0:34:16,7:46,,,,0:00:10,,,,
P16T2,NaNofuzz,4,0:34:26,7:56,,,,,0:00:03,,,
P16T2,NaNofuzz,4,0:34:29,7:59,,,,,,0:00:01,,
P16T2,NaNofuzz,4,0:34:30,8:00,0:00:30,,,,,,,
P16T2,NaNofuzz,4,0:35:00,8:30,,,,,,,0:00:08,
P16T2,NaNofuzz,5,0:35:08,8:38,,,,0:00:02,,,,
P16T2,NaNofuzz,5,0:35:10,8:40,,,,,0:00:05,,,
P16T2,NaNofuzz,5,0:35:15,8:45,,,,,,0:00:03,,
P16T2,NaNofuzz,5,0:35:18,8:48,,,,,,,0:00:12,
P21T1,Jest,1,0:07:42,0:00,,,0:00:30,,,,,
P21T1,Jest,1,0:08:12,0:30,,,0:00:30,,,,,
P21T1,Jest,1,0:08:42,1:00,,,0:00:30,,,,,
P21T1,Jest,1,0:09:12,1:30,,,0:00:30,,,,,
P21T1,Jest,1,0:09:42,2:00,,,,,0:00:30,,,
P21T1,Jest,1,0:10:12,2:30,,,,,,0:00:09,,
P21T1,Jest,1,0:10:21,2:39,,,,,,,0:00:21,
P21T1,Jest,2,0:10:42,3:00,,,0:00:30,,,,,
P21T1,Jest,2,0:11:12,3:30,,,,,0:00:20,,,
P21T1,Jest,2,0:11:32,3:50,,,,,,0:00:05,,
P21T1,Jest,2,0:11:37,3:55,,,,,,,0:00:05,
P21T1,Jest,2,0:11:42,4:00,,,,,,0:00:04,,
P21T1,Jest,2,0:11:46,4:04,,,,,,,0:00:14,
P21T1,Jest,2,0:12:00,4:18,,,,,0:00:12,,,
P21T1,Jest,2,0:12:12,4:30,,,,,0:00:09,,,
P21T1,Jest,2,0:12:21,4:37,,,,,,0:00:21,,
P37T2,Jest,1,0:25:26,0:00,,,0:00:30,,,,,
P37T2,Jest,1,0:25:56,0:30,,,,,0:00:30,,,
P37T2,Jest,1,0:26:26,1:00,0:00:30,,,,,,,
P37T2,Jest,1,0:26:56,1:30,0:00:04,,,,,,,
P37T2,Jest,1,0:27:00,1:34,,,,,,,0:00:21,
P37T2,Jest,1,0:27:21,1:55,,,,,,,,0:00:05
P37T2,Jest,1,0:27:26,2:00,,,,,0:00:30,,,
P37T2,Jest,2,0:27:56,2:30,,,,0:00:19,,,,
P37T2,Jest,2,0:28:15,2:49,,,,,0:00:11,,,
P37T2,Jest,2,0:28:26,3:00,0:00:30,,,,,,,
P37T2,Jest,2,0:28:56,3:30,0:00:30,,,,,,,
P37T2,Jest,2,0:29:26,4:00,,,,,0:00:30,,,
P37T2,Jest,2,0:29:56,4:30,,,,,0:00:30,,,
P37T2,Jest,2,0:30:26,5:00,,,,,0:00:21,,,
P37T2,Jest,2,0:30:47,5:21,,,,,,0:00:06,,
P37T2,Jest,2,0:30:53,5:26,,,,,,,0:00:03,
P35T2,Jest,1,0:32:13,0:00,,,0:00:30,,,,,
P35T2,Jest,1,0:32:43,0:30,,,,,0:00:30,,,
P35T2,Jest,1,0:33:13,1:00,,,,,0:00:07,,,
P35T2,Jest,1,0:33:20,1:07,,,0:00:10,,,,,
P35T2,Jest,1,0:33:30,1:17,,,,,0:00:06,,,
P35T2,Jest,1,0:33:36,1:23,,,,,,0:00:07,,
P35T2,Jest,1,0:33:43,1:30,,,,,,,0:00:30,
P35T2,Jest,2,0:34:13,2:00,,,0:00:11,,,,,
P35T2,Jest,2,0:34:24,2:11,,,,,0:00:04,,,
P35T2,Jest,2,0:34:28,2:15,,,,,,0:00:07,,
P35T2,Jest,2,0:34:35,2:23,,,,,,,0:00:07,
P35T2,Jest,2,0:34:42,2:29,,,,,,,,0:00:01
P35T2,Jest,3,0:34:43,2:30,,,0:00:30,,,,,
P35T2,Jest,3,0:35:13,3:00,,,0:00:30,,,,,
P35T2,Jest,3,0:35:43,3:30,,,0:00:10,,,,,
P35T2,Jest,3,0:35:53,3:40,,,,,0:00:20,,,
P35T2,Jest,3,0:36:13,4:00,,,,,0:00:30,,,
P35T2,Jest,3,0:36:43,4:30,0:00:08,,,,,,,
P35T2,Jest,3,0:36:51,4:38,,,,,,0:00:07,,
P35T2,Jest,3,0:36:58,4:45,,,,,,,0:00:05,
P35T2,Jest,3,0:37:03,4:50,,,,,,,,0:00:10
P35T2,Jest,3,0:37:13,5:00,0:00:08,,,,,,,
P35T2,Jest,3,0:37:21,5:08,,,,,,0:00:08,,
P35T2,Jest,3,0:37:29,5:16,,,,,,,0:00:14,
P35T2,Jest,4,0:37:43,5:30,,,0:00:30,,,,,
P35T2,Jest,4,0:38:13,6:00,,,,,0:00:30,,,
P35T2,Jest,4,0:38:43,6:30,,,0:00:13,,,,,
P35T2,Jest,4,0:38:56,6:43,0:00:04,,,,,,,
P35T2,Jest,4,0:39:00,6:47,,,,,,0:00:03,,
P35T2,Jest,4,0:39:03,6:50,0:00:07,,,,,,,
P35T2,Jest,4,0:39:10,6:57,,,,,,0:00:03,,
P35T2,Jest,4,0:39:13,7:00,,,,,,0:00:03,,
P35T2,Jest,4,0:39:16,7:03,,,,,,,0:00:08,
P35T2,Jest,4,0:39:24,7:11,0:00:04,,,,,,,
P35T2,Jest,4,0:39:28,7:15,,,,,,0:00:07,,
P35T2,Jest,4,0:39:35,7:22,,,,,,,0:00:08,
P35T2,Jest,4,0:39:43,7:30,,,,,,,,0:00:04
P35T2,Jest,5,0:39:47,7:34,,,0:00:26,,,,,
P35T2,Jest,5,0:40:13,8:00,,,,,0:00:30,,,
P35T2,Jest,5,0:40:43,8:30,,,,,0:00:30,,,
P35T2,Jest,5,0:41:13,9:00,,,,,,0:00:10,,
P35T2,Jest,5,0:41:23,9:10,,,,,,,0:00:05,
P35T2,Jest,5,0:41:28,9:15,0:00:15,,,,,,,
P35T2,Jest,5,0:41:43,9:30,,,,,0:00:13,,,
P35T2,Jest,5,0:41:56,9:43,,,,,,0:00:04,,
P35T2,Jest,5,0:42:00,9:47,,,,,,,0:00:13,
P35T2,Jest,6,0:42:13,10:00,,,0:00:30,,,,,
P35T2,Jest,6,0:42:43,10:30,,,0:00:18,,,,,
P35T2,Jest,6,0:43:01,10:48,,,,,0:00:10,,,
P35T2,Jest,6,0:43:11,10:58,,,,,,0:00:02,,
P35T2,Jest,6,0:43:13,11:00,,,,,,0:00:02,,
P35T2,Jest,6,0:43:15,11:02,,,,,,,0:00:04,
P35T2,Jest,6,0:43:19,11:06,,,,,,,,0:00:01
P35T2,Jest,6,0:43:20,11:07,,,,,0:00:08,,,
P35T2,Jest,6,0:43:28,11:15,,,,,,0:00:05,,
P35T2,Jest,6,0:43:33,11:20,,,,,,,0:00:03,
P35T2,Jest,6,0:43:36,11:23,,,,,0:00:07,,,
P35T2,Jest,6,0:43:43,11:30,,,,,0:00:12,,,
P35T2,Jest,6,0:43:55,11:42,,,,,,0:00:18,,