ID,Gender,YearsProCoding,HrsPerWkCoding,ExpertiseTS,ExpertiseJest,ExpertiseVSCode,ExpGroup,PairedWith,Group,Realistic,JestSUS,NaNoSUS,JestTutorialElapsed,NanoTutorialElapsed,Intervention1,Task1,Elapsed1,TestCases1,Accuracy1,Confidence1,Iterations1,Intervention2,Task2,Elapsed2,TestCases2,Accuracy2,Confidence2,Iterations2,Intervention3,Task3,Elapsed3,TestCases3,Accuracy3,Confidence3,Iterations3,Intervention4,Task4,Elapsed4,TestCases4,Accuracy4,Confidence4,Iterations4,Intervention5,Task5,Elapsed5,TestCases5,Accuracy5,Confidence15,Iterations5,Intervention6,Task6,Elapsed6,TestCases6,Accuracy6,Confidence6,Iterations6
P12,Male,4,30,4,3,4,EG01,P15,A,4,62.5,75,4:06,4:44,0,1,15:00,1,0,1,,1,2,12:02,1,2,4,,0,3,15:00,1,2,3,,1,4,5:14,1,2,5,,0,5,13:38,0,0,3,,1,6,10:23,2,0,3,
P14,Male,6,10,4,1,4,EG02,P16,B,4,77.5,90,1:52,4:26,1,1,3:04,1,1,5,,0,2,11:08,1,2,4,,1,3,6:35,1,2,4,,0,4,2:45,1,2,5,,1,5,3:33,1,1,4,,0,6,10:07,2,2,3,
P15,Not disclosed,1,20,3,1,2,EG01,P12,B,4,52.5,72.5,2:47,3:29,1,1,4:16,1,2,4,,0,2,6:11,1,2,2,,1,3,3:09,1,2,4,,0,4,2:25,1,2,4,,1,5,7:34,1,2,3,,0,6,7:38,1,1,1,
P16,Male,10,30,2,2,2,EG02,P14,A,4,100,97.5,3:35,3:22,0,1,10:35,1,1,5,,1,2,9:42,1,2,5,5,0,3,10:26,1,2,3,,1,4,3:44,1,2,5,,0,5,10:31,0,0,2,,1,6,8:48,2,2,3,7
P18,Female,3,5,2,2,3,EG01,P19,B,5,67.5,72.5,1:31,4:15,1,1,10:55,1,2,5,,0,2,15:00,1,2,1,,1,3,5:47,1,2,4,,0,4,5:14,1,2,5,,1,5,7:55,1,-1,4,,0,6,15:00,0,0,1,
P19,Not disclosed,4,20,3,2,4,EG01,P18,A,5,82.5,85,2:56,7:00,0,1,13:55,0,-1,2,,1,2,7:10,0,2,2,,0,3,8:26,1,0,2,,1,4,4:43,1,1,2,,0,5,4:11,0,1,2,,1,6,11:19,0,1,2,
P20,Male,6,30,4,1,5,EG02,P21,B,3,47.5,85,3:56,4:14,1,1,3:45,1,2,4,,0,2,8:26,1,1,3,,1,3,8:06,1,2,4,,0,4,8:12,1,1,3,,1,5,7:28,1,1,2,,0,6,14:07,1,1,2,
P21,Male,10,5,3,2,3,EG02,P20,A,2,95,97.5,3:18,6:02,0,1,5:22,1,2,4,2,1,2,2:51,1,2,4,,0,3,8:10,1,2,3,,1,4,1:57,1,2,4,,0,5,5:06,0,0,1,,1,6,4:51,2,1,2,
P22,Male,5,20,3,2,4,EG01,P24,A,5,85,87.5,2:21,3:43,0,1,7:14,1,2,4,,1,2,9:11,1,2,4,5,0,3,9:01,1,2,2,,1,4,4:29,1,2,5,,0,5,8:51,0,0,1,,1,6,11:03,2,2,2,
P23,Female,6,10,3,3,3,EG02,P33,B,4,77.5,95,2:54,4:31,1,1,3:18,1,2,3,,0,2,7:15,1,2,4,,1,3,3:32,1,2,4,,0,4,3:41,1,2,4,,1,5,9:48,1,1,1,1,0,6,10:44,2,2,1,
P24,Male,2,30,4,2,4,EG01,P22,B,4,82.5,97.5,1:30,3:12,1,1,3:07,1,2,5,,0,2,6:13,1,2,4,,1,3,3:56,1,2,4,,0,4,2:04,1,2,5,,1,5,1:44,1,2,5,,0,6,8:50,1,2,4,
P25,Female,1,30,4,2,4,EG01,P27,A,5,72.5,82.5,2:12,3:58,0,1,15:00,1,1,1,,1,2,7:44,1,2,4,,0,3,12:04,1,2,4,,1,4,4:57,1,2,5,,0,5,15:00,1,0,5,,1,6,15:00,2,2,1,
P26,Male,11,10,2,1,4,EG03,P44,B,4,85,100,2:00,3:15,1,1,4:24,1,2,4,,0,2,14:07,1,2,2,,1,3,6:10,1,2,5,,0,4,6:53,1,1,4,,1,5,7:00,1,2,4,,0,6,8:18,0,0,1,
P27,Male,1,10,3,2,4,EG01,P25,B,2,77.5,90,2:59,3:53,1,1,5:29,1,2,5,,0,2,4:54,1,1,4,,1,3,3:48,1,2,5,,0,4,4:38,1,2,5,,1,5,6:22,1,1,3,,0,6,6:33,2,0,3,
P30,Male,2,10,3,1,4,EG01,P45,B,4,87.5,92.5,2:53,4:45,1,1,2:57,1,2,4,,0,2,7:04,1,2,4,,1,3,6:18,1,2,5,,0,4,5:20,1,2,5,,1,5,4:01,1,2,3,,0,6,4:29,0,0,1,
P31,Male,2,20,3,2,5,EG01,P46,B,5,75,97.5,4:13,6:18,1,1,5:00,1,1,4,,0,2,6:56,1,1,5,,1,3,6:29,1,1,4,,0,4,5:58,1,1,4,,1,5,4:52,1,1,3,,0,6,9:05,1,1,3,
P32,Female,2,20,3,1,5,EG01,P34,B,4,95,97.5,2:55,3:45,1,1,7:20,1,2,4,,0,2,11:31,1,1,5,,1,3,9:04,1,2,3,,0,4,6:18,1,2,5,,1,5,9:19,1,1,3,,0,6,15:00,1,2,3,
P33,Male,8,30,4,4,5,EG02,P23,A,5,60,100,2:45,4:28,0,1,11:26,1,1,1,,1,2,5:36,1,2,3,,0,3,15:00,1,1,2,,1,4,5:25,1,2,4,,0,5,10:31,1,1,3,,1,6,15:00,0,0,3,
P34,Male,4,40,3,3,4,EG01,P32,A,4,80,90,2:46,5:37,0,1,4:01,1,2,4,,1,2,5:19,1,1,5,,0,3,4:49,1,2,4,,1,4,2:00,1,2,5,,0,5,4:42,0,0,3,,1,6,9:51,2,3,1,
P35,Male,2,30,2,1,4,EG01,P36,B,5,87.5,90,3:16,7:46,1,1,7:00,1,2,3,,0,2,11:54,1,2,2,6,1,3,5:23,1,2,3,,0,4,7:02,1,0,3,,1,5,2:41,1,1,3,,0,6,11:13,2,2,2,
P36,Male,4,10,4,3,4,EG01,P35,A,4,60,72.5,1:54,3:04,0,1,3:54,1,0,4,,1,2,4:48,1,2,5,,0,3,5:08,1,2,4,,1,4,1:54,1,2,4,,0,5,3:29,0,0,2,,1,6,7:06,1,2,2,
P37,Male,2,30,3,2,4,EG01,P47,B,5,80,85,2:23,5:33,1,1,3:00,1,2,4,,0,2,5:38,1,2,4,2,1,3,3:16,1,2,4,1,0,4,5:25,1,2,4,,1,5,14:35,1,1,1,,0,6,10:25,0,0,1,
P42,Male,5,10,5,4,5,EG01,P43,B,3,75,80,2:01,3:16,1,1,2:38,1,2,5,,0,2,6:26,1,2,4,,1,3,2:39,1,2,5,,0,4,3:19,1,2,5,,1,5,6:50,1,2,4,,0,6,15:00,1,1,2,
P43,Female,1,30,2,1,4,EG01,P42,A,5,87.5,90,3:02,5:09,0,1,12:08,1,2,4,,1,2,10:05,1,2,4,,0,3,15:00,1,2,5,,1,4,4:41,1,2,5,,0,5,15:00,1,0,2,,1,6,11:49,0,0,4,
P44,Male,12,5,2,1,4,EG03,P26,A,4,70,100,3:03,2:31,0,1,9:26,1,2,3,,1,2,6:31,1,2,4,,0,3,15:00,1,2,4,,1,4,2:42,1,2,4,,0,5,8:13,0,0,2,,1,6,2:57,0,0,4,
P45,Male,5,5,4,4,4,EG01,P30,A,4,90,95,2:43,3:44,0,1,7:27,1,2,4,,1,2,6:21,1,2,5,,0,3,9:05,1,2,4,,1,4,4:47,1,2,4,,0,5,15:00,1,1,1,,1,6,13:51,2,2,1,
P46,Male,1,10,3,2,4,EG01,P31,A,5,75,90,3:30,4:11,0,1,10:07,1,2,4,,1,2,4:36,1,2,4,,0,3,7:59,1,2,4,,1,4,3:09,1,2,5,,0,5,8:39,0,0,2,,1,6,8:39,1,0,4,
P47,Male,2,40,2,2,3,EG01,P37,A,4,40,52.5,5:13,3:49,0,1,10:48,1,2,3,,1,2,6:16,1,2,4,,0,3,9:58,1,1,2,,1,4,4:35,1,2,4,,0,5,13:34,1,0,3,,1,6,14:30,1,0,1,